Borough,Neighborhood,Latitude,Longitude
Downtown Los Angeles ,Chinatown,34.064989,-118.237295
Downtown Los Angeles ,Civic Center,34.056096,-118.244619
Downtown Los Angeles ,Fashion District,34.037529,-118.250216
Downtown Los Angeles ,Financial District,34.048893,-118.258459
Downtown Los Angeles ,Historic Core,34.044376,-118.251475
Downtown Los Angeles ,Jewerly District,34.047762,-118.253919
Downtown Los Angeles ,Little Tokyo,34.04792,-118.240857
Downtown Los Angeles ,Skid Row,34.036795,-118.240653
Downtown Los Angeles ,South Park,34.060051,-118.279398
Downtown Los Angeles ,Old Bank,34.0481,-118.247047
Downtown Los Angeles ,Toy District,34.045494,-118.245577
Downtown Los Angeles ,Wholesale,34.036899,-118.236521
Harbor Area,Harbor City,33.792715,-118.298518
Harbor Area,Harbor Gateway,33.869467,-118.287407
Harbor Area,San Pedro,33.755338,-118.287666
Harbor Area,Terminal Island,33.752089,-118.262217
Harbor Area,Wilmington,33.783754,-118.25752
Greater Hollywood,Beechwood Canyon,34.119882,-118.321076
Greater Hollywood,Franklin Hills,34.090184,-118.279013
Greater Hollywood,Hollywood,34.093423,-118.319268
Greater Hollywood,East Hollywood,34.092625,-118.297887
Greater Hollywood,Hollywood Hills,34.113051,-118.347381
Greater Hollywood,Laurel Canyon,34.121312,-118.375478
Greater Hollywood,Little Armenia,34.096587,-118.301958
Greater Hollywood,Los Feliz,34.10758,-118.287172
Greater Hollywood,Melrose District,34.083986,-118.355362
Greater Hollywood,Mount Olympus,34.11046,-118.366917
Greater Hollywood,Sierra Vista,34.102229,-118.353565
Greater Hollywood,Sunset Strip,34.091969,-118.380064
Greater Hollywood,Spaulding Square,34.091069,-118.35667
Greater Hollywood,Thai Town,34.106917,-118.3046
Greater Hollywood,Yucca Corridor,34.103579,-118.333337
Mid-Wilshire,Brookside Park,34.153768,-118.16521
Mid-Wilshire,Carthay Circle,34.062518,-118.366383
Mid-Wilshire,Country Club Park,34.053692,-118.321357
Mid-Wilshire,Fairfax District,34.082321,-118.35111
Mid-Wilshire,Fremont Place,37.53622,-121.977447
Mid-Wilshire,Hancock Park,34.073751,-118.330433
Mid-Wilshire,Harvard Heights,34.046052,-118.303993
Mid-Wilshire,Koreatown,34.061639,-118.300985
Mid-Wilshire,Larchmont,34.077169,-118.324231
Mid-Wilshire,Miracle Mile,34.059539,-118.349701
Mid-Wilshire,Olympic Park,34.057751,-118.359
Mid-Wilshire,Park La Brea,34.069756,-118.349246
Mid-Wilshire,Park Mile,34.061382,-118.319115
Mid-Wilshire,Picfair Village,34.049541,-118.364933
Mid-Wilshire,Wellington Square,34.039422,-118.334255
Mid-Wilshire,Western Heights,34.038565,-118.316613
Mid-Wilshire,Wilshire Center,34.062354,-118.298409
Mid-Wilshire,Wilshire Vista,34.057775,-118.363143
Mid-Wilshire,Windsor Square,34.073429,-118.320513
Rampart Area,Angelino Heights ,34.073883,-118.254795
Rampart Area,Echo Park ,34.078884,-118.260376
Rampart Area,Historic Filipinotown ,34.070446,-118.268373
Rampart Area,Lafayette Park ,34.061415,-118.283862
Rampart Area,MacArthur Park ,34.058491,-118.27946
Rampart Area,Pico-Union ,34.045779,-118.288235
Rampart Area,Silver Lake ,34.087107,-118.270689
Rampart Area,Sunset Junction ,34.092689,-118.280459
Rampart Area,Temple-Beaudry ,34.063147,-118.25122
Rampart Area,Westlake ,34.061241,-118.273125
Rampart Area,Virgil Village,34.08292,-118.287156
East Los Angeles,Aliso Village ,34.052738,-118.228642
East Los Angeles,Arroyo Seco ,34.113909,-118.171914
East Los Angeles,Atwater Village ,34.115455,-118.257473
East Los Angeles,Cypress Park ,34.099575,-118.225194
East Los Angeles,Boyle Heights ,34.030655,-118.211975
East Los Angeles,Eagle Rock ,34.13927,-118.217459
East Los Angeles,El Sereno ,34.078263,-118.178639
East Los Angeles,Elysian Park ,34.083096,-118.238019
East Los Angeles,Elysian Valley ,34.099295,-118.244979
East Los Angeles,Garvanza ,34.119763,-118.179233
East Los Angeles,Glassell Park ,34.108628,-118.232274
East Los Angeles,Highland Park ,34.11531,-118.183861
East Los Angeles,Hillside Village ,34.214015,-118.228145
East Los Angeles,Lincoln Heights ,34.078121,-118.211686
East Los Angeles,Montecito Heights ,34.091446,-118.204191
East Los Angeles,Monterey Hills ,34.096613,-118.183571
East Los Angeles,Mt. Washington ,34.107419,-118.214272
East Los Angeles,University Hills ,34.027451,-118.281874
San Fernando Valley,Arleta ,34.250454,-118.433372
San Fernando Valley,Balboa Park ,34.201984,-118.500022
San Fernando Valley,Cahuenga Pass ,34.128847,-118.342853
San Fernando Valley,Canoga Park ,34.208252,-118.606476
San Fernando Valley,Chatsworth ,34.251508,-118.612646
San Fernando Valley,Encino ,34.151442,-118.523395
San Fernando Valley,Granada Hills ,34.279658,-118.505622
San Fernando Valley,Knollwood ,34.289391,-118.499889
San Fernando Valley,Lakeview Terrace ,34.276027,-118.365605
San Fernando Valley,Lake Balboa ,34.182103,-118.49626
San Fernando Valley,La Tuna Canyon ,34.22829,-118.308364
San Fernando Valley,Mission Hills ,34.268602,-118.460123
San Fernando Valley,NoHo Arts District ,34.16617,-118.371534
San Fernando Valley,North Hills ,34.235945,-118.478445
San Fernando Valley,North Hollywood ,34.185915,-118.379495
San Fernando Valley,Northridge ,34.238047,-118.535037
San Fernando Valley,Olive View ,34.324668,-118.446175
San Fernando Valley,Pacoima ,34.277176,-118.411716
San Fernando Valley,Panorama City ,34.227734,-118.442553
San Fernando Valley,Porter Ranch ,34.191034,-118.481443
San Fernando Valley,Reseda ,34.201068,-118.538159
San Fernando Valley,Sepulveda ,34.246732,-118.47981
San Fernando Valley,Shadow Hills ,34.25739,-118.356213
San Fernando Valley,Sherman Oaks ,34.149087,-118.448663
San Fernando Valley,Studio City ,34.139141,-118.386946
San Fernando Valley,Sun Valley ,34.227215,-118.375774
San Fernando Valley,Sunland ,34.259803,-118.31081
San Fernando Valley,Sylmar ,34.30577,-118.458885
San Fernando Valley,Tarzana ,34.150227,-118.548226
San Fernando Valley,Toluca Lake ,34.149695,-118.35403
San Fernando Valley,Toluca Woods ,34.160571,-118.359726
San Fernando Valley,Tujunga ,34.259469,-118.297025
San Fernando Valley,Universal City ,34.139821,-118.34942
San Fernando Valley,Valley Glen ,34.186465,-118.412799
San Fernando Valley,Valley Village ,34.164079,-118.390087
San Fernando Valley,Van Nuys ,34.189601,-118.450341
San Fernando Valley,Ventura Business District ,34.280273,-119.294429
San Fernando Valley,Warner Center ,34.182975,-118.599856
San Fernando Valley,West Hills ,34.198615,-118.646384
San Fernando Valley,West Toluca ,34.155093,-118.373361
San Fernando Valley,Winnetka ,34.20509,-118.575625
San Fernando Valley,Woodland Hills ,34.16644,-118.611317
South Los Angeles,Athens Park ,33.918194,-118.279619
South Los Angeles,Baldwin Hills ,34.014161,-118.351247
South Los Angeles,Baldwin Village ,34.014443,-118.348736
South Los Angeles,Baldwin Vista ,34.016861,-118.36325
South Los Angeles,Chesterfield Square ,33.992811,-118.3132
South Los Angeles,Crenshaw ,34.018711,-118.339914
South Los Angeles,Exposition Park ,34.014885,-118.286113
South Los Angeles,Gramercy Park ,34.033917,-118.312482
South Los Angeles,Hyde Park ,33.989375,-118.330973
South Los Angeles,Jefferson Park ,34.030923,-118.317917
South Los Angeles,Jordan Downs ,33.947143,-118.23661
South Los Angeles,Leimert Park ,34.011427,-118.326812
South Los Angeles,Morningside Park ,33.962398,-118.331074
South Los Angeles,Nickerson Gardens ,33.93608,-118.248576
South Los Angeles,University Park ,34.030569,-118.279298
South Los Angeles,View Heights ,33.984326,-118.348259
South Los Angeles,Vermont Knolls ,33.963301,-118.26556
South Los Angeles,Vermont Park ,34.000383,-118.297419
South Los Angeles,Walnut Park ,33.968538,-118.223068
South Los Angeles,Watts ,33.937827,-118.243993
